"entity","abstract"
"Frederic M. Richards","Frederic Middlebrook Richards (August 19, 1925 – January 11, 2009), commonly referred to as Fred Richards, was an American biochemist and biophysicist known for solving the pioneering crystal structure of the ribonuclease S enzyme in 1967 and for defining the concept of solvent-accessible surface. He contributed many key experimental and theoretical results and developed new methods, garnering over 20,000 journal citations in several quite distinct research areas. In addition to the protein crystallography and biochemistry of ribonuclease S, these included solvent accessibility and internal packing of proteins, the first side-chain rotamer library, high-pressure crystallography, new types of chemical tags such as biotin/avidin, the nuclear magnetic resonance (NMR) chemical shift index, and structural and biophysical characterization of the effects of mutations. Richards spent his entire academic research career at Yale University, where he became Sterling Professor of Molecular Biophysics and Biochemistry in the department that he created and chaired, ""one of the major centers in the world for the study of biophysics and structural biology"". He was elected to the National Academy of Sciences USA and the American Academy of Arts and Sciences, and received many other scientific awards. He served as head of the Jane Coffin Childs Memorial Fund for Medical Research and was elected as president both of the American Society for Biochemistry and Molecular Biology (ASBMB) and of the Biophysical Society."
"Carsten Lund","Carsten Lund (born July 1, 1963) is a Danish-born theoretical computer scientist, currently working at AT&T Labs in Bedminster, New Jersey, United States. Lund was born in Aarhus, Denmark, and received the""kandidat"" degree in 1988 from the University of Aarhus and his Ph.D.from the University of Chicago in computer science. His thesis, entitled ThePower of Interaction, was chosen as an ACM 'Distinguished Dissertation'. Lund was a co-author on two of five competing papers at the 1990 Symposium on Foundations of Computer Science characterizing complexity classes such as PSPACE and NEXPTIME in terms of interactive proof systems;this work became part of his 1991 Ph.D. thesis from the University of Chicago under the supervision of Lance Fortnow and László Babai, for which he was a runner-up for the 1991 ACM Doctoral Dissertation Award. He is also known for his joint work with Sanjeev Arora, Madhu Sudan, Rajeev Motwani, and Mario Szegedy that discovered the existence of probabilistically checkable proofs for NP-hard problems and used them to prove hardness results for approximation problems; in 2001 he and his co-authors received the Gödel Prize for their share in these discoveries. More recently he has published highly cited work on internet traffic engineering. He has been working for AT&T Laboratories since August 1991."
"Kenneth G. McCracken","Kenneth G. McCracken, AO (born 7 August 1933) is an Australian physicist and leading space scientist, foundation Director of the CSIRO (Commonwealth Scientific and Industrial Research Organisation) Office of Space Science and Applications and Foundation Chief of the CSIRO Division of Mineral Physics. He had earlier worked in the United States of America for several years where he occasionally worked as a consultant for NASA (National Aeronautics and Space Administration). Kenneth McCracken was born in Brisbane, Queensland, the only child of Richard McCracken and Elisabeth Menzies (both Scottish emigrants). Kenneth was educated at Morooka Primary, Brisbane (1939), Deepdene Primary, Melbourne (1940-43) and Telopea Park Primary, Canberra (1943-44); his secondary schooling was at Canberra High School (1945-46) and Hobart High School (1946-49). McCracken then studied at the University of Tasmania where he obtained a Bachelor of Science with Honours (BSc (Hons)) in 1954; and a Doctor of Philosophy (PhD) in 1959.From 1961 to 1962 McCracken was Assistant Professor at Massachusetts Institute of Technology; from 1963 to 1965 he was a member of the NASA Space Radiation Protection Committee; from 1966 to 1969, he was a Professor at the University of Adelaide. McCracken was awarded the Pawsey Medal of the Australian Academy of Science in 1969, the Gold Medal of the Australian Society of Exploration Geophysicists, the Australia Prize (jointly) in 1995 and the Ian William Wark Medal (2001) and Haddon King Medal (2003) of the Australian Academy of Science. He was also made an Officer of the Order of Australia (AO) in 1989. McCracken was the Principal Investigator of an experiment on the Pioneer 7 mission. His entertaining autobiography biography is ""Blast Off"", ISBN 9781741106442, published by New Holland Publishers in 2008."
"Robert Ulanowicz","Robert Edward Ulanowicz is an American theoretical ecologist and philosopher of Polish descent who in his search for a unified theory of ecology has formulated a paradigm he calls Process Ecology. He was born September 17, 1943 in Baltimore, Maryland. He served as Professor of Theoretical Ecology at the University of Maryland Center for Environmental Science's Chesapeake Biological Laboratory in Solomons, Maryland until his retirement in 2008. Ulanowicz received both his BS and PhD in chemical engineering from Johns Hopkins University in 1964 and 68, respectively. Dr. Ulanowicz currently resides in Gainesville, Florida, where he holds a Courtesy Professorship in the Department of Biology at the University of Florida. Since relocating to Florida, Dr. Ulanowicz has served as a scientific advisor to the Howard T. Odum Florida Springs Institute, an organization dedicated to the preservation and welfare of Florida's natural springs."
"Richard Lewontin","Richard Charles ""Dick"" Lewontin (born March 29, 1929) is an American evolutionary biologist, geneticist, academic and social commentator. A leader in developing the mathematical basis of population genetics and evolutionary theory, he pioneered the application of techniques from molecular biology, such as gel electrophoresis, to questions of genetic variation and evolution. In a pair of seminal 1966 papers co-authored with J.L. Hubby in the journal Genetics, Lewontin helped set the stage for the modern field of molecular evolution. In 1979 he and Stephen Jay Gould introduced the term ""spandrel"" into evolutionary theory. From 1973 to 1998, he held an endowed chair in zoology and biology at Harvard University, and since 2003 has been a research professor there. Lewontin strongly opposes genetic determinism, especially as allegedly propounded by researchers in behavioral genetics."
"Xie Yi","Xie Yi FRSC (simplified Chinese: 谢毅; traditional Chinese: 謝毅; pinyin: Xiè Yì; born 23 July 1967) is a Chinese chemist. Xie is a member of the Chinese Academy of Sciences and a fellow of the Royal Society of Chemistry. She is a professor and doctoral supervisor at University of Science and Technology of China. Xie Yi won the L'Oréal-UNESCO Award for Women in Science in March 2015."
"Mark Krein","Mark Grigorievich Krein (Russian: Марк Григо́рьевич Крейн; 3 April 1907 – 17 October 1989) was a Soviet Jewish mathematician, one of the major figures of the Soviet school of functional analysis. He is known for works in operator theory (in close connection with concrete problems coming from mathematical physics),  the problem of moments, classical analysis and representation theory. He was born in Kiev, leaving home at age 17 to go to Odessa. He had a difficult academic career, not completing his first degree and constantly being troubled by anti-Semitic discrimination. His supervisor was Nikolai Chebotaryov. He was awarded the Wolf Prize in Mathematics in 1982 (jointly with Hassler Whitney),but was not allowed to attend the ceremony. David Milman, Mark Naimark, Izrail Glazman, Moshe Livshits and other known mathematicians were his students. He died in Odessa. On 14 January 2008, the memorial plaque of Mark Krein was unveiled on the main administration building of I.I. Mechnikov Odessa National University."
"David Franklin (scientist)","David Franklin is an American microbiologist and former fellow of Harvard Medical School who while employed by Parke-Davis filed the 1996 whistleblower lawsuit exposing their illegal promotion of Neurontin (gabapentin) for off-label uses. Franklin's suit, filed on behalf of the citizens of the United States under the qui tam provisions of US federal and state law, uncovered illegal pharmaceutical industry practices and created new legal precedent that resulted in a cascade of criminal convictions and civil and criminal penalties against Pfizer and several other pharmaceutical companies totalling more than $7 billion. Civil cases also followed Franklin v. Parke-Davis. Insurance companies, led by Kaiser Permanente, sued Pfizer for fraud and violation of the federal Racketeer Influenced and Corrupt Organizations Act; the Kaiser case settled in April 2014 after Pfizer's appeal at the US Supreme Court was rejected. Franklin v. Pfizer also spawned more than a thousand wrongful death (suicide) suits associated with use of Neurontin. Numerous books have addressed the social, economic and healthcare implications of Dr. Franklin's stance and actions. The settlement was the first off-label promotion settlement under the False Claims Act."
"Stephen Selkowitz","Stephen E. Selkowitz is an American building scientist, and a leading researcher of energy efficiency in building envelopes. He is currently a senior advisor for building science at the Lawrence Berkeley National Laboratory. In 2014, he received the Award of Excellence from Engineering News-Record (formerly the Man of the Year award)."
"Hosur Narasimhaiah","H. (Hanumanthappa) Narasimhaiah (more popularly Hossur Narasimhaiah, Kannada: ಡಾ. ಎಚ್.ನರಸಿಂಹಯ್ಯ; 6 June 1920 – 31 January 2005) was an Indian physicist, educator, writer, freedom fighter and rationalist from Karnataka. Publicly known as ""HN"", he was the Vice-Chancellor of Bangalore University and the president of the National Education Society. He was conferred the Padma Bhushan award by the Government of India in 1984. As there was no formal school in Hossur, where he was born, he attended the Government School in Gauribidanur, and continued high school at the National High School, Basavanagudi in Bangalore. He practically walked 85 km for two days to reach the city. A meeting with Mahatma Gandhi in 1936, in which he served as an interpreter to Gandhi, inspired him to follow Gandhism the rest of his life. While in his final year of BSc at the Central College of Bangalore, he gave up his education to join Gandhi's Quit India movement in 1942. He was arrested and imprisoned for about nine months. He finished his bachelor's degree with physics honours in 1944, and master's degree in 1946. He was immediately recruited to the faculty of physics at the National College, Bangalore, where he taught till 1957. He went for doctoral research in US and earned a PhD in 1960 in nuclear physics from the Ohio State University. From 1961 he was Principal of the National College, Basavanagudi. He became the Vice-Chancellor of the Bangalore University in 1972, the post he held until his resignation in 1977. He went on to serve in the Karnataka Legislative Council. A self-proclaimed rationalist, he was a renowned sceptic. While in office, he constituted and chaired the ""Committee to Investigate Miracles and Other Verifiable Superstitions"" that led to public challenges of the miraculous claims of Hindu godmen, including Sathya Sai Baba and Sai Krishna. As a leader of the Karnataka legislators to investigate a black-magic curse called banamathi, he disproved the existence of such claims. He was the founder of the Bangalore Science Forum. He is so far the only Indian to become elected Fellow of the Committee for the Scientific Investigation of Claims of the Paranormal."
"Christopher Bishop","Chris obtained a Bachelor of Arts degree in Physics from St Catherine's College, Oxford, and a PhD in Theoretical Physics from the University of Edinburgh, with a thesis on quantum field theory."
"Noella Marcellino","Mother Noella Marcellino, O.S.B., (born Martha A. Marcellino; June 30, 1951) is an American Benedictine nun who has earned a doctorate in microbiology from the University of Connecticut. Studying fungi in France on a Fulbright Scholarship, she concentrated on the positive effects of decay and putrefaction as well as the odors and flavors of cheese."
"Rudolph Leibel","Rudolph Leibel, MD, (born 1942) is the Christopher J. Murphy Professor of Diabetes Research, Professor of Pediatrics and Medicine at Columbia University Medical Center, and Director of the Division of Molecular Genetics in the Department of Pediatrics. He is also Co-Director of the Naomi Berrie Diabetes Center and Executive Director of the Russell and Angelica Berrie Program in Cellular Therapy, Co-Director of the New York Obesity Research Center and the Columbia University Diabetes and Endocrinology Research Center. Leibel's co-discovery at Rockefeller University of the hormone leptin, and cloning of the leptin and leptin receptor genes, has had a major role in the area of understanding human obesity. Leibel has published hundreds of scientific papers on obesity, and has authored and co-authored 70 scientific papers on the topic of leptin specifically."
"Roger Bingham","Roger Bingham is a public intellectual, science educator, author and television host based in La Jolla, California. He is co-founder and director of the Science Network (TSN), a virtual forum dedicated to science and its impact on society. TSN currently offers free access to over 1,100 videos. Bingham is also the creator of the celebrated Beyond Belief conferences. Bingham developed the Science and Society Unit at the Los Angeles PBS station, KCET. There, he wrote, produced and presented the Frontiers of the Mind series, which included ""The Addicted Brain"", ""The Sexual Brain"", ""The Time of Our Lives"", and ""Inside Information"", programs which have been broadcast in multiple countries and languages. Bingham also co-wrote and hosted the PBS television series The Human Quest (1996). Philip Hefner wrote in The Christian Century that ""it provides a benchmark of the minimal scientific knowledge all informed persons should possess (...) Bingham and his PBS series represent the best and brightest of Western scientific intelligence today."" The Human Quest episode The Nature Of Human Nature won a Writers Guild of America Award. He has co-authored the international best-selling novel, Wild Card (1974) and The Origin of Minds: Evolution, Uniqueness, and the New Science of the Self (Harmony, 2002). From 1995-96, Bingham was a Visiting Associate at Caltech in the laboratory of evolutionary neuroscientist, John Allman and a Visiting Fellow at the Center for Evolutionary Psychology, UC Santa Barbara (co-directed by John Tooby and Leda Cosmides). Bingham and Peggy La Cerra presented an alternative to the model of evolutionary psychology, first in a paper in Proceedings of the National Academy of Sciences of the United States of America, then in The Origin of Minds: Evolution, Uniqueness, and the New Science of the Self. This model was based on the concept of adaptive representational networks (ARN). According to this theory, these networks encode the history of an individual's behavioural successes and failures in relationship to the energy costs of any particular behaviour. Hence, memory becomes an accounting mechanism for computing the energy costs of behaviour. La Cerra and Bingham called this model ""Theoretical Evolutionary Neuroscience"". After the publication of The Origin of Minds, Bingham turned his attention to developing a platform for science education and communication. In 2003, with Terry Sejnowski, he initiated the project that became known as the Science Network. The launch of The Science Network was a landmark Symposium and Town Hall meeting, Stem cells: science, ethics and politics at the crossroads, held at the Salk Institute in 2004. Roger Bingham serves as the director of the Science Network. Bingham is currently an affiliate of the Computational Neurobiology Laboratory at the Salk Institute for Biological Studies and the Institute for Neural Computationat UC San Diego. Bingham is also a member of the Director's Council, UC San Diego Center for Brain Activity Mapping (C-BAM) and an Executive Committee member of the UCSD Temporal Dynamics of Learning Center (TDLC). He is a member of the Board of Advisers of Scientific American."
"Brian Cox (physicist)","Brian Edward Cox, OBE, FRS (born 3 March 1968) is an English physicist, and Advanced Fellow of particle physics in the School of Physics and Astronomy at the University of Manchester. He is best known to the public as the presenter of science programmes, especially the Wonders of... series and for popular science books, such as Why Does E=mc²? and The Quantum Universe. He has been the author or co-author of over 950 scientific publications. Cox has been described as the natural successor for BBC's scientific programming by both David Attenborough and the late Patrick Moore. Before his academic career, Cox was a keyboard player for the bands D:Ream and Dare."
"Don L. Anderson","Don Lynn Anderson (March 5, 1933 – December 2, 2014) was an American geophysicist who made significant contributions to the understanding of the origin, evolution, structure, and composition of Earth and other planets. An expert in numerous scientific disciplines, Anderson’s work combined seismology, solid state physics, geochemistry and petrology to explain how the Earth works. Anderson was best known for his contributions to the understanding of the Earth’s deep interior, and more recently, for explaining that volcanoes are the product of plate tectonics rather than narrow plumes emanating from the deep Earth. Anderson was Professor (Emeritus) of Geophysics in the Division of Geological and Planetary Sciences at the California Institute of Technology (Caltech). He received numerous awards from geophysical, geological and astronomical societies. In 1998 he was awarded the prestigious Crafoord Prize by the Royal Swedish Academy of Sciences along with Adam Dziewonski. Later that year, Anderson received the National Medal of Science. He held honorary doctorates from Rensselaer Polytechnic Institute (where he did his undergraduate work in geology and geophysics) and the University of Paris (Sorbonne), and served on numerous university advisory committees, including those at Harvard, Princeton, Yale, University of Chicago, Stanford, University of Paris, Purdue University, and Rice University. Anderson’s wide-ranging research resulted in hundreds of published papers in the fields of planetary science, seismology, mineral physics, petrology, geochemistry, tectonics and the philosophy of science. He continued to work and publish until his death. His widely known textbooks, Theory of the Earth, and New Theory of the Earth are regarded by colleagues as compelling syntheses of the origins of the Earth and its inner workings by one of the great geophysical authorities of our time."
"John Curtis Perry","John Curtis Perry also known as John Perry (born 18 July 1930) is an East Asian and Oceanic studies professor and historian. He is the Henry Willard Denison Professor of History at the Fletcher School of Law and Diplomacy, Tufts University. He was also the director of that school's Maritime Studies program and founding president of the Institute for Global Maritime Studies, until his retirement in 2014. Perry has written several history books and articles, on topics including Pacific Asia-US relations, the American occupation of Japan, and American expansionism toward the Pacific Ocean. His writing style has been characterized for artfully conveying history to the general reader with pith, wit, and clarity. The Japanese government awarded him the Imperial decoration of the Order of the Sacred Treasure for his contributions to US-Japan relations. As of 2015, Perry was finishing a book about the implausibility of Singapore's success."
"Carlton E. Lemke","Carlton Edward Lemke (October 11, 1920 - April 12, 2004) was an American mathematician. Lemke received his bachelor's degree in 1949 at the University of Buffalo and his PhD (Extremal problem in Linear Inequalities) in 1953 at Carnegie Mellon University (then Carnegie Institute of Technology). In 1952-1954 he was instructor at the Carnegie Institute of Technology and in 1954-55 at the Knolls Atomic Power Laboratory of General Electric. In 1955-56 he was an engineer at the Radio Corporation of America in New Jersey. From 1956 he was assistant professor and later professor at the Rensselaer Polytechnic Institute. Since 1967, he was there Ford Foundation Professor of Mathematics. His research is in Algebra, Mathematical Programming, Operations Research, and Statistics. In 1954 Lemke developed the dual simplex method, independently from E. M. L. Beale. He is also known for his contribution to game theory. In 1964 Lemke (with J. T. Howson) constructed an algorithm for finding Nash equilibria the case of finite two-person games. For this work Lemke received in 1978 the John von Neumann Theory Prize."
"Mujahid Kamran","Mujahid Kamran (born 23 January 1951) is a Pakistani theoretical physicist and the current vice-chancellor of the University of the Punjab in Lahore, Pakistan. He is a professor of physics and previously served as the chairman of the Physics Department at the University of the Punjab (1995–2001 and January 2007–January 2008). From 2004–2007, he served as the dean of the Faculty of Sciences at the same institution. In January 2008, he was appointed as vice-chancellor of the Punjab University by the Governor of Punjab, Lieutenant General Khalid Maqbool, on the recommendation of a search committee.Kamran joined the University of the Punjab as a lecturer in 1972 and became an assistant professor in 1982, associate professor in 1986, and professor in 1988. He is a former Fulbright Fellow (University of Georgia, Athens, USA, 1988–89)."
"Knut Borchardt","Knut Borchardt (born 2 June 1929 in Berlin, Germany) is a German researcher, historian and former professor for history and economics at both the Ludwig Maximilian University of Munich and the University of Mannheim from 1962 to 1969. Moreover, he served as rector at the University of Mannheim between 1967 and 1969."
"Robert E. Hopkins","Robert Earl Hopkins (June 30, 1915 – July 4, 2009) was president of the Optical Society of America in 1973. Recognized as an expert in optical instrument design, aspheric optics, interferometry, lasers, and lens testing, Hopkins has been characterized as the ""father of optical engineering."" Born in Belmont, MA, in 1915, Hopkins attended the Massachusetts Institute of Technology (MIT) under a full scholarship, earning a BS in 1937. He received his MS (1939) and PhD (1945) from the University of Rochester (UR). In 1948, he was awarded a US Navy Citation for outstanding wartime service in the Office of Research and Development. Hopkins was appointed to the UR faculty in 1945 and was named Professor of Optics in 1951. He led the Institute of Optics as Director from 1954 to 1964, during the time when computers were first used to design optical systems and both fiber optics and the laser were born. He travelled frequently to Ithaca to use an early computer at Cornell University and brought the first computers to the UR in 1955. His lens designs included the Todd-AO lens used for the film ""Oklahoma!"" (1955). In 1963, he organized the ""Laser Road Show"" for the National Science Foundation to introduce laser technologies at colleges, universities, and corporations. Hopkins left the UR in 1967 to serve as President of Tropel, Inc., a company he co-founded in 1953. Tropel became a world leader in customized precision optical instrumentation and is now a division of Corning, Inc. He returned to the UR Laboratory of Laser Energetics in 1975 as Chief Optical Engineer, a position he held until 1982. He also continued to teach as Professor of Optics and as Professor Emeritus throughout the 1980s. An OSA member since 1937, Hopkins served as the Society's President in 1973. He was a recipient of OSA's Frederic Ives Medal (1970) and Joseph Fraunhofer Award (1983). He was also a Fellow of the American Physical Society (APS), served on the SPIE Board of Governors, and was a member of Sigma Xi, the American Society for Engineering Education and numerous advisory panels. He was awarded the SPIE Gold Medal in 1983. His career has been celebrated by his students and associates in the Robert E. Hopkins Professor of Optics endowed chair and the Robert E. Hopkins Center for Optical Design and Engineering at the UR. Hopkins was an avid skier for most of his life, a 195 bowler, a competitive horseshoe player in his 70's, and a sometime sailor and golfer. He also loved and respected the natural world in which we live and practiced his conservation ethic on the family property known as Wayland. He was predeceased by his wife of 60 years, Barbara Ann Barnes, and is survived by 6 children and their spouses, 17 grandchildren, and 5 great-grandchildren."
"Paul Kogerman","Paul Nikolai Kogerman (5 December [O.S. 23 November] 1891 in Tallinn – 27 July 1951 Tallinn) was an Estonian chemist and founder of modern research in oil shale. Paul Kogerman was born into a family of gas factory worker (and former sailor). He went to an elementary school in 1901–1904 and a town school in 1904–1908. After town school Kogerman earned a living by teaching in church manors near Tallinn. In 1913, he was graduated from the Alexander Gymnasium in Tallinn (Reval) as an extern. Starting in 1913, he studied at the University of Tartu, graduating from its Department of Chemistry in 1918. In the Estonian War of Independence he fought in a unit of Tallinn teachers. In 1919–1920 he got a state scholarship to study at the Imperial College London. In May 1921 he was given a qualification of chemical technologist by the University of London and in 1922 he received the degree of Master of Sciences."
"Wen-Tsuen Chen","Wen-Tsuen Chen (Chinese: 陳文村; born May 27, 1948) is an ethnic Taiwanese computer scientist, a distinguished research fellow at the Academia Sinica and a lifelong national chair of the Ministry of Education, Taiwan. From 2006 to 2010, he was the president of the National Tsing Hua University, a premier research university in Taiwan."
"John Burton Cleland","Sir John Burton Cleland CBE (22 June 1878 – 11 August 1971) was a renowned Australian naturalist, microbiologist, mycologist and ornithologist. He was Professor of Pathology at the University of Adelaide and was consulted on high-level police inquiries, such as the famous Taman Shud Case in 1948 and later."
"Herbert Kroemer","Herbert Kroemer (born August 25, 1928), a professor of electrical and computer engineering at the University of California, Santa Barbara, received his Ph.D. in theoretical physics in 1952 from the University of Göttingen, Germany, with a dissertation on hot electron effects in the then-new transistor, setting the stage for a career in research on the physics of semiconductor devices. In 2000, Kroemer, along with Zhores I. Alferov, was awarded the Nobel Prize in Physics ""for developing semiconductor heterostructures used in high-speed- and opto-electronics"". The other co-recipient of the Nobel Prize was Jack Kilby for his invention and development of integrated circuits and micro-chips. He worked in a number of research laboratories in Germany and the United States and taught electrical engineering at the University of Colorado from 1968 to 1976. He joined the UCSB faculty in 1976, focusing its semiconductor research program on the emerging compound semiconductor technology rather than on mainstream silicon technology. Kroemer was elected as a member of the National Academy of Engineering in 1997 and the National Academy of Sciences in 2003. He always preferred to work on problems that are ahead of mainstream technology. In the 1950s, he invented the drift transistor and was the first to point out that advantages could be gained in various semiconductor devices by incorporating heterojunctions. Most notably, in 1963 he proposed the concept of the double-heterostructure laser, which is now a central concept in the field of semiconductor lasers. Kroemer became an early pioneer in molecular beam epitaxy, concentrating on applying the technology to untried new materials. Along with Charles Kittel he co-authored the popular textbook Thermal Physics, first published in 1980, and still used today. He is also the author of the textbook Quantum Mechanics for Engineering, Materials Science and Applied Physics."
"Keith O'Nions","Sir Robert Keith O'Nions FRS Hon.FREng (born 26 September 1944), is a British scientist and ex-President & Rector of the Imperial College London. He is the former Director General of the Research Councils as well as Professor of the Physics and Chemistry of Minerals and was head of the Department of Earth Sciences at the University of Oxford. He studied geology as an undergraduate at the University of Nottingham, receiving a PhD at the University of Alberta before taking up a postdoctoral position at the University of Oslo. He taught geochemistry at the University of Oxford from 1971 to 1975, when he became a professor of geology at Columbia University, a post he held until 1979 when he became a Royal Society Research Professor at the University of Cambridge. He remained there until 1995, when he returned to Oxford to take up the professorship. He was knighted in 1999, and from 2000 to 2004 he was Chief Scientific Adviser to the Ministry of Defence. After a period as Director General of the Research Councils, he was appointed to lead the newly formed Institute for Security Science and Technology at Imperial College, London in July 2008.On 1 January 2010, following the resignation of Sir Roy Anderson, he became the acting Rector of Imperial College London, in July 2010 he was appointed to a full term as Rector, to run until 2013. O'Nions received an Honorary Doctorate from Heriot-Watt University in 2004 He was also appointed as a HonFREng of the Royal Academy of Engineering in 2005. He is a member of the Norwegian Academy of Science and Letters."
"Steven Weinberg","Steven Weinberg (born May 3, 1933) is an American theoretical physicist and Nobel laureate in Physics for his contributions with Abdus Salam and Sheldon Glashow to the unification of the weak force and electromagnetic interaction between elementary particles. He holds the Josey Regental Chair in Science at the University of Texas at Austin, where he is a member of the Physics and Astronomy Departments. His research on elementary particles and cosmology has been honored with numerous prizes and awards, including in 1979 the Nobel Prize in Physics and in 1991 the National Medal of Science. In 2004 he received the Benjamin Franklin Medal of the American Philosophical Society, with a citation that said he is ""considered by many to be the preeminent theoretical physicist alive in the world today."" He has been elected to the US National Academy of Sciences and Britain's Royal Society, as well as to the American Philosophical Society and the American Academy of Arts and Sciences. Weinberg's articles on various subjects occasionally appear in The New York Review of Books and other periodicals. He has served as consultant at the U. S. Arms Control and Disarmament Agency, President of the Philosophical Society of Texas, and member of the Board of Editors of Daedalus magazine, the Council of Scholars of the Library of Congress, the JASON group of defense consultants, and many other boards and committees."
"David H. Auston","David H. Auston (born 1940) is an American physicist, known for his work on terahertz technology, and in particular, the development of the Auston switch. Auston was born in Toronto, Canada in 1940, and completed his B.A.Sc. and M.A. degrees in Engineering Physics and Electrical Engineering respectively, from the University of Toronto. He then moved to California to work at the General Motors Defense Laboratory, and completed his PhD in Electrical Engineering from the University of California, Berkeley in 1969, working in the then-new area of laser physics. He was then offered a job at the AT&T Bell Labs with an open research mandate. Once there, he collaborated with materials scientist Alastair M. Glass to study properties of electro-optic crystals. Shortly after, he came up with the idea of using photoconducting antennae as both a source and detector of radiation, developing what came to be known as ""Auston switches"". After the downsizing of Bell Labs in 1987, Auston moved to Columbia University as Professor of Electrical Engineering and Applied Physics, then moving to Rice University as Provost in 1994, until being appointed President at Case Western Reserve University in 1999. In 2003, he moved back to Santa Barbara, California to serve as the President of the Kavli Foundation."
"Nigel Gilbert","Geoffrey Nigel Gilbert CBE FBCS FRSA FAcSS FREng (born 21 March 1950) is a British sociologist and a pioneer in the use of agent-based models in the social sciences. He is the founder and director of the Centre for Research in Social Simulation (University of Surrey), author of several books on computational social science, social simulation and social research and past editor of the Journal of Artificial Societies and Social Simulation (JASSS), the leading journal in the field."
"Nick Jennings (computer scientist)","Nicholas Robert Jennings, CB, FREng, FIEEE, FIET, FBCS, CEng, CITP (born 15 December 1966) is the Vice-Provost (Research) at Imperial College, where he also holds a Chair in Artificial Intelligence in the Departments of Computing and in Electrical and Electronic Engineering. He was previously the Regius Professor of Computer Science at the University of Southampton and Chief Scientific Adviser to the UK Government on National Security. He is an internationally recognised authority in the areas of artificial intelligence, autonomous systems, agent-based computing and cybersecurity. He was involved in founding aerogility  and variab.ly."
"Anthony William Thomas","Anthony William (Tony) Thomas (born 5 November 1949) is an Australian physicist, Professor of Physics at the University of Adelaide since 1984 and Elder Professor of Physics since 1990. Thomas was born in Adelaide and educated at Adelaide Boys High School where he won the Thomas Price Scholarship (for the top student in the South Australian Leaving Examinations) in 1966. He was awarded the BHP Medal in 1967 as the top student in South Australia in Mathematics, Physics and Chemistry in the (new) Matriculation Examinations. He completed a Ph.D. at Flinders University in 1973. From 1973 to 1975 Thomas was Killam Postdoctoral Fellow at the University of British Columbia, then from 1975 to 1976 was Scientific Associate of the European Organization for Nuclear Research (CERN) in Geneva. From 1976 to 1982 he was a researcher at TRIUMF (Canada's National Laboratory for Particle and Nuclear Physics) in Vancouver; from 1983 he was Senior Research Scientist there. In 1983 Thomas accepted an offer of the Chair of Physics at the University of Adelaide, he started there in February 1984. In 1990 he was appointeed Elder Professor of Physics at the University of Adelaide. From 1991 to 1993 he was President of the Australian Institute of Physics. In 2014, he was named as the South Australian Scientist of the Year for his work on the structure of subatomic matter."
"Rakesh Jain","Rakesh K. Jain is the Andrew Werk Cook Professor of Tumor Biology at Massachusetts General Hospital in the Harvard Medical School and Director of the E.L. Steele Laboratories for Tumor Biology at the Massachusetts General Hospital. He has mentored more than 200 graduate and postdoctoral students from over a dozen different disciplines. Jain's research findings are summarized in more than 600 publications, which have been cited more than 70,000 times (as of December, 2015). He was among the top 1% cited researchers in Clinical Medicine in 2014-15. He serves or has served on advisory panels to government, industry and academia, and is a member of editorial advisory boards of 22 journals, including Nature Reviews Cancer and Nature Reviews Clinical Oncology. He has received more than 75 awards from engineering and medical professional societies/institutions, and is a member of the American Academy of Arts and Sciences as well as all three branches of the US National Academies – the National Academy of Medicine, the National Academy of Engineering and the National Academy of Sciences. In 2014, he was chosen as one of 50 Oncology Luminaries on the occasion of the 50th anniversary of the American Society of Clinical Oncology. In 2015, Jain received honorary doctorates from Duke University, KU Leuven, Belgium and IIT-Kanpur, India. In 2013, he was awarded the National Medal of Science."
"David Jack (scientist)","Sir David Jack CBE FRS FRSE (22 February 1924 – 8 November 2011) was a Scottish pharmacologist and medicinal chemist who specialised in the development of drugs for treating asthma. He was head of research and development at Glaxo from 1978 until 1987."
"Artur Ekert","Artur Ekert FRS (born 19 September 1961 in Wrocław, Poland) is a Professor of Quantum Physics at the Mathematical Institute, University of Oxford, and a Lee Kong Chian Centennial Professor at the National University of Singapore and also the Director of CQT (Centre for Quantum Technologies). His research interests extend over most aspects of information processing in quantum-mechanical systems, with a focus on quantum communication and quantum computation. He is best known as one of the inventors of quantum cryptography."
"Svante Janson","Svante Janson (born 21 May 1955) is a Swedish mathematician. A member of the Royal Swedish Academy of Sciences since 1994, Janson has been the chaired professor of mathematics at Uppsala University since 1987. In mathematical analysis, Janson has publications in functional analysis (especially harmonic analysis) and probability theory. In mathematical statistics, Janson has made contributions to the theory of U-statistics. In combinatorics, Janson has publications in probabilistic combinatorics, particularly random graphs and in the analysis of algorithms: In the study of random graphs, Janson introduced U-statistics and the Hoeffding decomposition. Janson has published four books and over 200 academic papers (as of 2010). He has an Erdős number of 1."
